page	section	start_line	end_line	words
zshmisc	SIMPLE COMMANDS & PIPELINES	6	74	567
zshmisc	PRECOMMAND MODIFIERS	75	123	312
zshmisc	COMPLEX COMMANDS	124	320	1426
zshmisc	ALTERNATE FORMS FOR COMPLEX COMMANDS	321	388	335
zshmisc	RESERVED WORDS	389	399	66
zshmisc	ERRORS	400	466	308
zshmisc	COMMENTS	467	472	39
zshmisc	ALIASING	473	563	655
zshmisc	QUOTING	564	586	139
zshmisc	REDIRECTION	587	720	776
zshmisc	OPENING FILE DESCRIPTORS USING PARAMETERS	721	770	386
zshmisc	MULTIOS	771	871	591
zshmisc	REDIRECTIONS WITH NO COMMAND	872	895	163
zshmisc	COMMAND EXECUTION	896	928	253
zshmisc	FUNCTIONS	929	945	113
zshmisc	AUTOLOADING FUNCTIONS	946	1057	763
zshmisc	ANONYMOUS FUNCTIONS	1058	1100	273
zshmisc	SPECIAL FUNCTIONS	1101	1268	1085
zshmisc	JOBS	1269	1359	759
zshmisc	SIGNALS	1360	1374	134
zshmisc	ARITHMETIC EVALUATION	1375	1606	1483
zshmisc	CONDITIONAL EXPRESSIONS	1607	1842	1264
zshmisc	EXPANSION OF PROMPT SEQUENCES	1843	1863	128
zshmisc	SIMPLE PROMPT ESCAPES	1864	2055	1096
zshmisc	CONDITIONAL SUBSTRINGS IN PROMPTS	2056	2162	814
zshexpn	DESCRIPTION	6	40	167
zshexpn	HISTORY EXPANSION	41	348	2181
zshexpn	PROCESS SUBSTITUTION	349	457	806
zshexpn	PARAMETER EXPANSION	458	1536	7137
zshexpn	COMMAND SUBSTITUTION	1537	1552	100
zshexpn	ARITHMETIC EXPANSION	1553	1558	37
zshexpn	BRACE EXPANSION	1559	1611	483
zshexpn	FILENAME EXPANSION	1612	1757	1056
zshexpn	FILENAME GENERATION	1758	2586	5362
zshparam	DESCRIPTION	6	60	411
zshparam	ARRAY PARAMETERS	61	489	3199
zshparam	POSITIONAL PARAMETERS	490	512	197
zshparam	LOCAL PARAMETERS	513	543	226
zshparam	PARAMETERS SET BY THE SHELL	544	921	2143
zshparam	PARAMETERS USED BY THE SHELL	922	1511	3858
zshoptions	SPECIFYING OPTIONS	6	36	258
zshoptions	DESCRIPTION OF OPTIONS	37	1557	9921
zshoptions	OPTION ALIASES	1558	1596	79
zshoptions	SINGLE LETTER OPTIONS	1597	1682	135
zshbuiltins	SHELL BUILTIN COMMANDS	6	2777	19024
